region,marital,gender,longmon,tollmon,equipmon,cardmon,wiremon,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn
2,1,0,3.7,0,0,7.5,0,0,0,0,0,0,0,1,0,0,1,1
3,1,0,4.4,20.75,0,15.25,35.7,0,1,1,0,1,1,1,1,0,4,1
3,1,1,18.15,18,0,30.25,0,0,0,0,0,1,1,0,1,0,3,0
2,0,1,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,1,0,6.3,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0
2,0,1,11.8,19.25,0,13.5,0,0,0,0,0,1,1,0,0,0,3,0
3,1,1,10.9,0,0,8.75,0,1,0,0,1,0,1,0,0,1,2,1
2,0,0,6.05,45,50.1,23.25,64.9,1,1,1,1,1,1,1,1,1,4,0
3,1,0,9.75,28.5,0,12,0,1,0,0,0,1,1,1,1,0,3,0
1,1,0,24.15,0,0,16.5,0,1,0,0,0,0,0,0,0,0,2,0
2,0,1,4.85,0,26.15,0,0,0,0,1,1,0,0,0,0,1,1,1
3,0,1,7.1,22,0,23.75,0,0,1,0,0,1,1,1,1,0,3,0
1,1,1,8.55,0,0,41.75,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,15.6,46.25,46.7,0,61.05,1,1,1,1,1,1,1,1,1,4,1
2,0,1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,5.1,0,30.25,11.25,0,1,0,0,1,0,0,0,0,0,2,0
3,0,0,16.15,29.75,31.3,30,0,1,0,0,0,1,1,1,1,0,3,0
3,0,1,6.65,18.5,0,0,0,0,0,0,0,0,1,1,1,0,3,0
2,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,6.7,0,48.1,24.25,38.3,1,1,0,1,1,1,1,1,1,4,1
3,0,1,3.75,0,33.8,0,18.7,1,0,1,1,0,1,0,0,0,2,1
1,1,0,20.7,0,0,22,0,0,0,0,0,0,0,1,0,0,1,0
3,0,1,5.3,0,49.6,26.75,51.4,1,1,0,1,0,1,1,1,1,4,0
3,1,0,15.05,0,0,27.25,0,0,0,0,0,0,0,0,0,0,1,0
3,1,0,12.5,19.75,0,18,0,0,0,0,0,1,1,1,1,0,3,0
2,0,1,2.2,20.75,0,40.5,0,0,0,0,0,0,1,1,1,0,3,0
2,0,1,8.25,23.5,36.9,28,37.4,1,1,0,1,1,1,0,1,1,4,0
3,1,0,9.1,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0
1,1,1,2.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,1,1,5.55,0,27.35,0,0,1,0,0,1,0,0,0,1,1,2,0
1,1,1,10.6,0,31.1,18.25,0,1,0,0,1,0,0,0,0,1,2,0
1,1,0,21,56,0,34,49.95,1,1,0,1,0,0,1,1,1,4,0
1,1,1,6.5,27.5,0,35,0,0,0,0,0,0,1,1,1,0,3,0
1,1,0,4.8,0,19.55,0,0,1,0,0,1,0,0,0,0,0,2,0
2,1,0,33.9,38.25,44.65,13.75,55.25,1,1,1,1,0,1,1,1,1,4,0
3,1,0,4.25,0,30.55,0,0,1,0,0,1,0,0,0,0,1,2,1
2,0,0,21.15,39.25,46.35,54.25,54.85,1,1,1,1,1,0,0,1,1,4,0
1,1,0,9.8,33.5,0,36,41.65,1,1,0,0,1,1,1,1,0,3,0
1,1,1,6.55,29.25,0,19.75,0,0,1,0,0,1,1,1,1,0,3,1
2,0,1,41.75,49,0,18.75,0,1,0,0,0,1,1,1,1,0,3,0
3,0,0,2.5,19.25,0,53.75,0,0,0,0,0,1,1,1,1,0,3,0
2,0,1,4.25,30,0,17.75,0,0,0,0,0,1,1,1,1,0,3,0
2,1,0,6.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,5.65,0,46.75,0,48.5,1,1,1,1,0,0,0,1,1,4,1
1,1,1,14.7,18.75,0,11,0,1,0,0,0,1,1,0,1,0,3,0
1,1,0,14.5,0,37,17,0,1,1,0,1,0,0,0,0,1,2,0
1,1,0,12.85,25.75,0,14.25,0,1,0,0,1,0,1,0,0,1,2,0
3,1,0,7.75,0,37.45,18.5,38.8,1,0,1,1,0,1,0,1,1,4,1
3,1,1,2.95,0,22.95,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,1,3.25,31.5,0,15.5,26.75,0,0,0,1,1,1,1,1,1,3,1
2,1,0,6.3,0,22.5,0,0,0,0,0,1,0,0,0,0,0,1,1
1,1,0,24.75,0,0,22.25,0,1,0,0,0,0,0,0,0,0,2,0
3,0,0,7.8,23.75,37.25,22.5,30.05,1,1,1,1,1,1,1,1,1,4,0
1,1,0,4.85,15.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,6.25,18.5,0,14.25,0,0,0,0,0,1,0,0,0,1,1,0
2,1,1,7.2,15.75,28.35,0,0,0,0,1,1,1,0,0,1,0,1,1
3,0,1,7.65,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
1,1,0,15.5,0,0,34.5,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,10.4,28,0,19,27.5,0,0,0,0,1,1,1,1,0,3,0
2,1,1,19.7,0,28.15,14.75,0,1,0,0,1,0,0,0,0,1,2,0
2,1,1,12.7,27.5,0,11.5,0,0,1,0,0,1,1,1,1,0,3,1
2,1,1,28.8,55.5,0,21.25,61.1,1,1,1,0,1,1,1,1,0,4,0
3,0,0,10.25,0,0,15.75,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,29,0,47.05,24.75,0,1,0,1,1,1,0,0,1,0,4,0
